model,train_acc,val_acc,test_acc,train_macro_f1,val_macro_f1,test_macro_f1
LogReg,0.7902264600715138,0.7055555555555556,0.7071823204419889,0.7901318006250221,0.7033081697306005,0.7079526688222848
LinearSVM,0.8200238379022646,0.7055555555555556,0.7016574585635359,0.8191221855677262,0.7030299596021784,0.7024804309561049
RBF-SVM,0.767580452920143,0.6555555555555556,0.6519337016574586,0.76759583830161,0.6548112290994085,0.6544302416161509
RandomForest,1.0,0.6277777777777778,0.6022099447513812,1.0,0.6256202777708154,0.6012143512803597
GradBoost,1.0,0.6111111111111112,0.6353591160220995,1.0,0.6094221455620997,0.6357848481073917
KNN,1.0,0.5888888888888889,0.580110497237569,1.0,0.5848396768785378,0.5771450741636076
GaussianNB,0.5256257449344458,0.43333333333333335,0.5193370165745856,0.5104035752007253,0.4108234974234007,0.5065260963142318
